name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
Growing Tykes Learning Centre,112 Sedgemount Dr,Markham Rd/Ellesmere,Scarborough-Guildwood,Angela Ellis,416-438-4088,,,
Growing Tykes Learning Centre (Dundas Street West),5150 Dundas St W,Dundas W./Kipling,Etobicoke-Lakeshore,Michelle Arsenault,416-207-9259,,,
Growing Tykes Learning Centre  910 Markham Road,910 Markham Rd,Markham/Ellesmere,Scarborough-Guildwood,Laura Derewonko,416-438-4088,,,
Guildwood Child Care,3969 Kingston Rd,Guildwood Go Train Station,Scarborough-Guildwood,Cynthia Bright,416-261-4476,,,
Gulfstream Day Care Centre,20 Gulfstream Rd,Weston Rd./Sheppard,Humber River-Black Creek,Sandra Buttarazzi,416-746-5714,,,
Happy Day Child Care Centre,676 Jane St,Jane/St. Clair W.,York South-Weston,Jodie Nowack,416-528-1469,,,
Happyland Childcare Learning Centre,225 Gosford Blvd,,Humber River-Black Creek,Natalia Cojuhari,416-661-7227,,,happylandccc.ca
Harmony Childcare Centre,124 Northcliffe Blvd,Dufferin/St. Clair,Davenport,Susie Pascuzzi,416-656-8902,,,
Hawthorne-On-Essex Day Care,50 Essex St,Bloor W./Christie,University-Rosedale,Elisha Gauthier,416-393-9291,,,
Hawthorn School Day Care,101 Scarsdale Rd,Leslie St/York Mills Rd,Don Valley East,Chandra Kanthi Tantrege,416-444-3054,,,
Head Start Montessori,"2235 Sheppard Ave E, 105",,Don Valley North,Naureen Shah,416-756-7300,,,headstartmontessori.ca
Heart Beatz Child Care - Cedarbrook Site,56 Nelson St,,Scarborough-Guildwood,Shiromie Ganesh,647-808-1439,,,
Heart Beatz Child Care - Cliffcrest Site,2938 Eglinton Ave E,Eglinton E./McCowan Rd.,Scarborough Centre,Irene Sheridan,416-267-6293,,,
Heart Beatz Child Care - Solaris Site,141 Village Green Sq,,Scarborough-Agincourt,Ruth Mitchell,416-321-1719,,,
Heart Beatz - Halbert Child Care Site,25 Halbert Place,McCowan Rd/Kingston Rd,Scarborough Southwest,Shiromie Ganesh,647-808-1439,,,
Heath And Ferndale Child Care Program,23 Ferndale Ave,Yonge/St. Clair,Toronto-St. Paul's,Kim Elkas,416-961-9678,,,
Heritage Child Care & Early Learning Centre,75 Alexmuir Blvd,Alexmuir Blvd/Finch Ave,Scarborough North,Xu Fan Lisa Lin,647-436-6670,,,
Heritage Child Care & Early Learning - Milliken Site,130 Port Royal Trail,,Scarborough North,Anna Ginam Lee,647-825-7528,,,
Hester How Early Learning Centre,"100 Queen St W, 1st Floor East Tower",Queen/Bay,Spadina-Fort York,Ingrid Ivis,416-392-7981,,,hesterhowelc.com
High Park Early Learning Centre,17 High Park Ave,Bloor/High Park Ave.,Parkdale-High Park,Marsha Adams,416-760-9958,,,
High Park Gardens Montessori School,35 High Park Gdns,Parkside Dr/Howard Park Ave,Parkdale-High Park,Kaitlyn Lubniewski,416-763-6097,,,mildenhallmontessori.com
High Park Jr YMCA,2665 Dundas St W,Dundas/Annette,Parkdale-High Park,Melissa De Sousa,416-763-1195,,,
Highview Wilson Child Care,22 Highview Ave,Keele/Hwy. 401,York Centre,Shanika Richards,416-245-6221,,,
Hillcrest Progressive School,59 Plymbridge Rd,Yonge/York Mills,Don Valley West,Gianna Michielli,416-489-8355,,,
Hillmount Child Care,245 McNicoll Ave,Don Mills/Finch,Don Valley North,Jenny Lung,416-494-0877,,,
Hillside Montessori School,76 Anglesey Blvd,Islington/Rathburn,Etobicoke Centre,Jennifer Chu,416-846-1470,,,hillsidemontessori.com
Hilltop Daycare Centre,160 North Bonnington Ave,Kennedy/St. Clair,Scarborough Southwest,Gail Walker,416-266-1085,,,
Hippo Nursery School,729 St Clair Ave W,St. Clair/Christie,Toronto-St. Paul's,Joanna Gillespie,416-651-6718,,,hipposchool.com
Holland-Bloorview Kids Rehab. - (Play & Learn Nursery),666 Eglinton Ave W,Eglinton W./Spadina,Eglinton-Lawrence,Silvia Souto,416-782-1105,,,hollandbloorview.ca
Holland-Bloorview Kids Rehab. (Scarborough Site),1 Wayne Ave,Lawrence E./Warden,Scarborough Centre,Michelle Weir,416-759-8079,,,hollandbloorview.ca
Hollywood All-Stars Child Care,360 Hollywood Ave,Bayview/Sheppard,Willowdale,Angela Iantorno,416-221-7827,,,
Holy Family Childcare Centre-Queen Victoria,141 Close Ave,Jameson/King West,Parkdale-High Park,Naresha Ali,416-524-2052,,,
Holy Spirit Jr YMCA,3530 Sheppard Ave E,Birchmount/Sheppard,Scarborough-Agincourt,Ranu Singh,416-913-0958,,,
Holy Trinity YMCA,6 Colonel Samuel Smith Park Dr,Kipling/Lake Shore Blvd W,Etobicoke-Lakeshore,Irene Grobelny,647-281-4410,,,
Hopscotch Montessori Canada,"55 St Clair Ave W, 110, 112, 130",St. Clair Ave W/Yonge St,Toronto-St. Paul's,Anna Fedina,437-987-1953,,,
Howard Park Children's Centre,30 Marmaduke St,Howard Park/Roncesvalles,Parkdale-High Park,Donalee McNeil,416-532-3945,,,
Humber Bay Child Care Centre,50 Cloverhill Rd,Park Lawn/The Queensway,Etobicoke-Lakeshore,Shaza Asanovski,416-251-8240,,,
Humber Child Development Centre,205 Humber College Blvd,Rexdale/Hwy. 27,Etobicoke North,Tonja Armstrong-Macinnis,416-675-5057,,,
Humbercrest Nursery School,"569 Jane St, 114",,Parkdale-High Park,Roza Azaribousheri,416-763-7309,,humbercrestnursery@gmail.com,
Humbercrest School Age YMCA,14 St Marks Rd,Jane/Dundas W.,Parkdale-High Park,Jessica Carranza,416-769-6715,,,
Humberside Montessori School,121 Kennedy Ave,Bloor St W/Kennedy Ave,Parkdale-High Park,Aidan Roman-Crossland,416-762-8888,,,humbersidemontessori.ca
Humbervale Montessori School Inc (Facility #15068),1447 Royal York Rd,Royal York/Eglinton W.,Etobicoke Centre,Andrea Heitz,416-244-4001,,,humbervalemontessori.ca
Humewood Day Care Centre,15 Cherrywood Ave,St. Clair/Christie,Toronto-St. Paul's,Sara Martins,416-651-2550,,,
Hunter's Glen School Age YMCA,16 Haileybury Dr,Lawrence/Midland,Scarborough Centre,Felicia Bryan,416-261-9092,,,
Huron Playschool Co-Operative,383 Huron St,Bloor/Huron,University-Rosedale,Portia Ohemaah-Akoto,416-977-1109,,,huronplayschool.com
Huron Superfriends Inc.,541 Huron St,Bloor/St. George,University-Rosedale,Gertie Dorval,416-921-7551,,,superfriends.ca
Hurwich Education Centre - Kamin,252 Finch Ave W,,Willowdale,Tova Segal,416-787-1872,,,associatedhebrewschools.com
Hydro Bright Lights Childcare Centre,"800 Kipling Ave, Kp 100 Building, Unit 5",Dundas/Kipling,Etobicoke-Lakeshore,Monica Tersigni,416-207-6856,,,hydrobrightlights.com
Hydrokids - Opg,700 University Ave,College/University,University-Rosedale,Marjeta Guni,416-551-9537,,,
Ikebata Nursery School,6 Sakura Way,Don Mills/Wynford Dr.,Don Valley East,Chinatsu Yano,416-510-1441,,,ikebatanursery.com
Immaculate Conception Child Care Centre,23 Comay Rd,Black Creek Dr./Eglinton Ave W,York South-Weston,Sindy Torres,416-760-2809,,,lefca.org
Immanuel Child Care Centre,21 Channel Nine Crt,McCowan/Hwy. 401,Scarborough North,Ingrid Van Dyk,416-293-9361,,,
Impact Childcare Centre,4545 Jane St,,Humber River-Black Creek,Simone Pammenter,647-429-9749,,,impactchildcare.ca
Indian Road Crescent School Age YMCA,285 Indian Road Cres,Keele St/Dundas St W,Parkdale-High Park,Melissa De Sousa,416-763-1195,,,
Institute Of Child Study After School Daycare,45 Walmer Rd,Spadina/Bloor,University-Rosedale,Anne Marie Lopez,416-934-4512,,,
Isabella Walton Child Care (Scarborough)Inc.,835 Birchmount Rd,Birchmount/Eglinton,Scarborough Southwest,Anjali Dubey,416-750-4598,,,
Islington Village Childcare Centre,112 Jutland Rd,,Etobicoke-Lakeshore,Sharlin Christian,416-255-2000,,,islingtonvillageccc.com
Ivy Montessori School Inc.,1428 Royal York Rd,Royal York Rd/Eglinton Ave W,Etobicoke Centre,Gabriela Ortega,416-242-8778,,,ivymontessori.ca
J.R. Wilcox Day Care Centre,231 Ava Rd,Eglinton W./Marlee Ave.,Toronto-St. Paul's,Regina Abreu,416-656-1781,,,
Jackman Community Daycare,79 Jackman Ave,Danforth/Chester,Toronto-Danforth,Kayla Myles,416-466-8715,226,,jackmancommunitydaycare.ca
Jardin D'Eveil,294 Lawrence Ave E,Bayview/Lawrence,Don Valley West,Celine Lebel,416-484-6980,4355,,
Jesse Ketchum Early Learning & Child Care Centre,7 Berryman St,Davenport/Bay,University-Rosedale,Vilma Liberata Leone,416-392-5061,,,toronto.ca/children/telccs
"Jesse Ketchum Junior And Senior Public School, Extended Day Program",61 Davenport Rd,Davenport/Bay,University-Rosedale,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Jewish Russian Community Centre Preschool & Day Care,"5950 Bathurst St, Unit #109",Bathurst/Steeles,York Centre,Shaina Zaltzman,416-222-7105,501,,jrccdaycare.org
Jingbao (Downtown)Bilingual Children's Centre (96 Denison Avenue),96 Denison Ave,,Spadina-Fort York,Wenbo Chen,416-603-8885,,,
Jingbao Bilingual Children's Centre,3105 Don Mills Rd,Don Mills/Finch,Don Valley North,Yan Wang,416-494-4105,,,torontomandarinschool.com
Jingbao Bilingual Children's Centre - Scarborough,2350 McCowan Rd,McCowan/Finch Ave. E.,Scarborough North,Bing Ma,416-321-6006,,,
John A. Leslie Childcare - Scarborough,459 Midland Ave,Midland/Kingston Rd.,Scarborough Southwest,Lynda Campbell,416-261-3238,,,
John English YMCA,95 Mimico Ave,Royal York.Mimico Ave,Etobicoke-Lakeshore,Ashley Thompson,416-930-5467,,,ymcatoronto.org
John G. Althouse - Princess Margaret,65 Tromley Dr,Eglinton/Martingrove,Etobicoke Centre,Elizabeth Ann Hawkins,416-394-6989,,,
John G Diefenbaker Child Care Centre,70 Dean Park Rd,Dean Park Rd/Meadowvale Rd,Scarborough-Rouge Park,Gloria Kanhai,416-281-4171,,,
John Ross Robertson Child Centre,130 Glengrove Ave W,Avenue/Lawrence,Eglinton-Lawrence,Sheryl Barton,416-484-4825,,,jrrcc.ca
John Wanless Child Care,245 Fairlawn Ave,Lawrence/Avenue Rd.,Eglinton-Lawrence,Fiona Modeste,416-488-8571,,,jwccp.com
Jolly Juniors,"1500 Royal York Rd, 37",,Etobicoke Centre,Bosede Ekemezie,416-666-2127,,,jollyjuniors.ca
Jubilee Child Care Centre,"55 Emmett Ave, 109",Jane/Eglinton,York South-Weston,Francesca Santoro,416-530-0722,4019,,
Junction Day Care Centre,265 Annette St,Annette/Clendenan,Parkdale-High Park,Tracy Spence,416-767-2991,,,
Kateri Kids Child Care Centre,70 Margaret Ave,Finch East/Victoria Park,Don Valley North,Andrea Miele,416-496-2965,,,
Keelmount Daycare Centre,99 Mountview Ave,Bloor/Keele,Parkdale-High Park,Jennifer Ayre,416-763-6824,,,
Kenlinton Child Care Centre (OperatorStonehill)Facility #16008,2283 Eglinton Ave E,Birchmount/Eglinton,Scarborough Southwest,Chauleyne Bell,416-759-4525,,,
Kennedy Road Kiddy Kare - (Kennedy Road Church Of The Nazarene),661 Kennedy Rd,Kennedy/Eglinton,Scarborough Southwest,Helga Galostian,416-261-1414,,,
Kensington Kids Early Learning Centre,401 College St,College/Bathurst,University-Rosedale,Elana Rosen,416-927-0870,,,kensingtonkidselc.ca
Kepalen Angelic Child Care,1301 Neilson Rd,Neilson Rd/Sewells Rd,Scarborough-Rouge Park,Mbongo Fon Nabila,647-581-3125,,,
Kew Beach Day Care Co-Op Inc.,101 Kippendavie Ave,Queen/Woodbine,Beaches-East York,Kristy Dodson,416-698-6226,,,
Kew Park Montessori Day School Inc. (Hiawatha Road),79 Hiawatha Rd,Gerrard St. E./Coxwell Ave.,Toronto-Danforth,Bobbi Jo Laberge,416-694-6273,,,kewparkmontessori.com
Kiddies Lodge Day Care Centre,764 Ellesmere Rd,Birchmount/Ellesmere,Scarborough Centre,Deborah Otto,416-298-6092,,,
Kids & Company - Bloor Street Site,"160 Bloor St E, Suite 160",Bloor/Church,University-Rosedale,Anna-A Green,416-924-5437,0,,kidsandcompany.com/locations/bloor
Kids & Company - Consumers Site,"251 Consumers Rd, Suite 100",Victoria Pk./Shepperd,Don Valley North,Mona Hosseini,416-493-2045,0,, kidsandcompany.com/locations/consumers
Kids & Company Etobicoke,"3250 Bloor St W, Et 101",Islington/Bloor,Etobicoke-Lakeshore,Stephanie Samanica,416-237-0404,,,kidsandcompany.com/locations/etobicoke
Kids & Company - Finch Site,"5650 Yonge St, Suite 101",Yonge/Finch,Willowdale,Anita Cao,416-222-0905,0,, kidsandcompany.com/locations/finch
Kids & Company - Front Street Site,"320 Front St W, Suite 100",Front/Blue Jay Way,Spadina-Fort York,Tanya Arora,416-345-1543,0,,kidsandcompany.ca
Kids & Company King And Highline,1100 King St W,King St. West/Dufferin St.,Spadina-Fort York,Natalia Nakonechna,416-460-3373,,,kidsandcompany.com
Kids & Company Ltd. - Bloor Christie,703 Bloor St W,,University-Rosedale,Samantha Del Rio-Cuevas,647-345-5702,0,, kidsandcompany.com/locations/bloor-christie
Kids & Company Queen West,308 Queen St W,Spadina And Queen St W,Spadina-Fort York,Pam Janes,416-595-5537,0,,kidsandcompany.com
Kids & Company - Rosedale,129 Mount Pleasant Rd,Mt Pleasant Rd/Bloor St E,University-Rosedale,Ashleigh Bundock,416-922-9814,,,kidsandcompany.com
Kids & Company Scotia Plaza,"104 Yonge St, Unit 260 & Unit 360",,Toronto Centre,Anita Baidya,416-603-2992,,,kidsandcompany.com/locations/scotia-plaza
Kids & Company St Andrews,73 Simcoe St,,Spadina-Fort York,Sue Purser,416-938-8024,,,kidsandcompany.com/locations/st-andrews-church
Kids & Company The Stockyards,100 Weston Rd,Weston Rd/St Clair W,York South-Weston,Melissa Garcia-Medeiros,416-761-9019,0,,
Kids Club (Day Care Connection),780 Kingston Rd,Main/Kingston Rd.,Beaches-East York,Nicky Antonoglou,416-693-6596,,,daycareconnection.net
Kids Club Daycare & Learning Centre (OpAaa Childrens Inc.),104 Advance Rd,Bloor St. W./Islington,Etobicoke-Lakeshore,Caroline Botelho,416-236-2863,,,kidsand company.com/locations/islington
Kids Connect Daycare,138 Main St,,Beaches-East York,Meghan Clemens,647-494-9991,,,kidsconnectdaycare.com
Kids Haven Community Child Care,46 Cresthaven Dr,Finch/Leslie,Don Valley North,Pam Geci,416-492-8336,,,kidshavencommunitychildcare.com
Kids Korner Day Care,180 Westmoreland Ave,Bloor/Dufferin,Davenport,Maryam Nasiri,416-536-4102,,,
Kids Way Daycare,369 Broadview Ave,,Toronto-Danforth,Gloria De Melo,416-508-2160,,,
Kids Zone Daycare Inc.,123 Glendale Ave,Roncesvalles/Queen,Parkdale-High Park,Branka Rados,416-534-1758,,,
Kids Zone Daycare On Constance,76 Constance St,Bloor W./Roncesvales,Parkdale-High Park,Marissa Pereira,416-551-4354,,,
Kidz Kare,"15 York St, 3rd Floor",Lakeshore W./York St.,Spadina-Fort York,Parisa Seyed,416-553-4166,,,
Kiiwednong Aborginal Head Start,"1288 Weston Rd, 1294",,York South-Weston,Amanda Macewen,416-639-9036,,,
Kimbercroft Day Nursery 2,39 Kimbercroft Crt,Markham/Sheppard,Scarborough North,Sandira Namrud,416-321-1694,,,kimbercroft.com
Kinderbrook Montessori School,1 Credit Union Dr,,Don Valley East,Nourin Thayani,416-759-5463,,,kinderbrookmontessori.com
Kindercircle Day Care,150 Kilgour Rd,Bayview/Eglinton,Don Valley West,Kenna Paul,416-424-3818,,,
Kinder College Early Learning Centre,"25 Nicholas Ave, 1",River St And Shuter Ave,Toronto Centre,Khushdeep Kaur,416-249-9881,,,kindercollege.ca
Kinder College Early Learning Centre,218 Richmond St W,Richmond St. W./MC Caul St,Spadina-Fort York,Manpreet Sidhu,416-479-0004,,,kindercollege.ca
Kinder Grove St. Clair,94 Vaughan Rd,,Toronto-St. Paul's,Marziyeh Ghavami-Monfared,416-654-1678,,,kindergrove.ca
King George B & A School Program,25 Rexford Rd,Jane/Dundas,Parkdale-High Park,Melissa Oliveira,416-509-0159,,,
Kingston Road East Early Learning And Child Care Centre,3392 Kingston Rd,Kingston/Markham,Scarborough Southwest,Linda Darlene Tisman,416-396-3755,,,toronto.ca/children/telccs
Kingsview Child Care,340 Dixon Rd,Dixon/Islington,Etobicoke North,Pauline Holt,416-249-7601,,,
Kingsway Nursery School,85 The Kingsway,Kingsway/Prince Edward,Etobicoke-Lakeshore,Sara Cuda,416-233-1491,,,kingswaynurseryschools.ca
Kipling Early Learning & Child Care Centre,2233 Kipling Ave,Kipling Ave./Rexdale Blvd.,Etobicoke North,Luisa Quadrini,416-397-9961,,,toronto.ca/children/telccs
Knob Hill Day Nursery,23 Gage Ave,Brimley/Lawrence,Scarborough Centre,Annalyn Narciso,416-439-9864,,,
Knob Hill School Age YMCA,25 Seminole Ave,Brimley/Eglinton,Scarborough Centre,Erin Andersen,416-296-9907,,,
Kodomoen Childcare Centre,"630 Spadina Ave, 2nd Floor",College/Spadina,University-Rosedale,Shizuka Hosein,416-599-2426,,,kodomoentoronto.ca
Kreative Kids Child Care Centre,100 Bamburgh Cir,Warden/Finch,Scarborough-Agincourt,Lesley-Anne Hercules,647-438-9411,,,
Kreative Kids Terry Fox,185 Wintermute Blvd,,Scarborough-Agincourt,Lesley-Anne Hercules,647-438-9411,,,
La Citadelle International Academy Of Arts & Science,36 Scarsdale Rd,,Don Valley East,Alfred Abouchar,416-385-9685,,,
Lady Bug Daycare Centre,400 Burnhamthorpe Rd,Burnhamthorpe/East Mall,Etobicoke Centre,Reena Joseph,416-626-1251,,daycareladybug@gmail.com,
Lakeshore Community Child Care Centre,101 Seventh St,Islington/Lake Shore Blvd. W,Etobicoke-Lakeshore,Kwameah Anoush Bennett,416-394-7601,,,
Lakeside Co-Operative Playschool Inc.,2226 Queen St E,Queen St E/Beech Ave,Beaches-East York,Chris Probst,416-524-5676,,,
La Maison Du Dodo,582 Oakwood Ave,Oakwood/Eglinton,Toronto-St. Paul's,Vanesha C. Khadaroo,416-656-5555,,,sunflowermontessori.ca
Lambton - Kingsway B & After School Program,525 Prince Edward Dr N,Dundas W./Royal York,Etobicoke-Lakeshore,Laura Van De Kraats,416-394-6400,,,
Lambton Park Child Care Centre,50 Bernice Cres,Jane/St. Clair W.,York South-Weston,Karin Dewinter,416-762-5177,,,lambtonparkchildcare.wixsite.com/lambtonparkchildcare
Lamp Jr YMCA,185 Fifth St,Burmingham/Islington,Etobicoke-Lakeshore,Filomena Zita,416-252-8544,,,
Lansing Co-Op Nursery School,80 Church Ave,Yonge/Finch,Willowdale,Leslie Beveridge,416-225-4581,,,
La Petite Ecole,130 Kennedy Ave,Runnymede/Bloor,Parkdale-High Park,Jennifer Brown,416-767-2020,,,lapetiteecole.co
Lawrence Heights Community Day Care Centre,10 Flemington Rd,William R. Allen/Bathurst,Eglinton-Lawrence,Harriette Noel-Humes,416-787-4105,,,
Lawrence Orton Early Learning & Child Care Centre,3947 Lawrence Ave E,,Scarborough-Guildwood,Eileen Marquez,416-392-5692,,,
Lawrence Park School,2180 Bayview Ave,,Don Valley West,Rochelle Navarro,416-489-4459,,info@lawrenceparkschool.com,lawrenceparkschool.com
Learning Garden Childcare,69 Six Point Rd,Islington/Queensway,Etobicoke-Lakeshore,Amal Akram,416-231-8998,,,learninggarden.ca
Learning Jungle Briarcrest,1982 Islington Ave,,Etobicoke Centre,Amanda Katryan,416-244-8691,,,
Learning Jungle Buttonwood,100 Sidney Belsey Cres,Jane/Weston,York South-Weston,Sunita Mody,416-241-3800,,,
Leaside Children's House,839 Millwood Rd,Millwood/Laird,Don Valley West,Jim Karaiskakis,416-425-0101,,,leasidechildrenshouse.com
Leaside Day Care Centre,206 Laird Dr,Laird/Eglinton,Don Valley West,Frances Quin,416-487-5862,,,
Ledbury Park Child Care Program,95 Falkirk St,Bathurst/Lawrence,Eglinton-Lawrence,Christine File,416-782-2539,,,
Lee Wiggins Childcare Centre (The),"4700 Keele St, Room 201",Keele/Steeles W.,Humber River-Black Creek,Michelle Pham,416-736-5959,,,yorkchildcare.ca
Lef - George Harvey Child Care Centre,1700 Keele St,Eglinton/Keele,York South-Weston,Daniella Suarez,416-658-9244,,,
Lef - Roseland Day Care,990 Jane St,Jane/Eglinton W.,York South-Weston,Juliana Donkor,416-763-0068,,,
Lef- Silverthorn Early Learning Earth Centre,2700 Eglinton Ave W,Keele/Eglinton W.,York South-Weston,Daisy Thi Dieu Hoang,416-653-9702,,,lefca.org
Lef - Vaughan Road Infant And Toddler Centre,529 Vaughan Rd,Vaughan Rd./Oakwood,Toronto-St. Paul's,Espy Castillo,416-658-1874,,,
Le Jardin De Moliere,"866 The Queensway, 100",Islington And Queensway,Etobicoke-Lakeshore,Valencia Yesica,647-774-8628,,,
Le Jardin De Moliere Inc,"3029 Lake Shore Blvd W, 2nd Floor",,Etobicoke-Lakeshore,Yesica Valencia,647-774-8628,,,lejardindemoliere.com
Leonardo Da Vinci Academy Of Arts & Science,901 Lawrence Ave W,,Eglinton-Lawrence,Susan Lee,416-247-6137,,,ldva.on.ca
Le Petit Chaperon Rouge - Coxwell,419 Coxwell Ave,Coxwell/Gerrard,Beaches-East York,Elena Coderre,416-463-3955,,,lepetitchaperonrouge.ca
Le Petit Chaperon Rouge - Etobicoke (Facility #12270),755 Royal York Rd,Royal York/Norseman,Etobicoke-Lakeshore,Axelle Bangala,416-236-4557,,,lepetitchaperonrouge.ca
Le Petit Chaperon Rouge - Gainsborough,250 Gainsborough Rd,Coxwell/Gerrard,Beaches-East York,Hayat Lamouri,416-465-2582,,,lepetitchaperonrouge.ca
Le Petit Chaperon Rouge - Jones,343 Jones Ave,Jones/Gerrard E,Toronto-Danforth,Saliha Mtoui,416-465-2227,,,
Le Petit Chaperon Rouge Milverton,700 Milverton Blvd,Woodbine Ave/Danforth Ave,Beaches-East York,Nadia Daoust,647-795-3943,,,lpcr.ca
Le Petit Chaperon Rouge - Queensdale,80 Queensdale Ave,Monarch Park/Sammon,Toronto-Danforth,Aziza El Mountaqi,416-463-3975,,,lepetitchaperonrouge.ca
Le Petit Chaperon Rouge - Richview,59 Clement Rd,Martin Grove/Eglinton West,Etobicoke Centre,Jamila Balfoul,416-240-9559,23,,lepetitchaperonrouge.ca
Le Petit Chaperon Rouge - Scarborough,29 Meadowvale Rd,,Scarborough-Rouge Park,Jamila Ait Abbou,647-269-4833,,,
Leroux Froebel Bilingual School,72 Main St,Main/Kingston Rd.,Beaches-East York,April Zagala,416-698-1923,,,lerouxfroebel.com
Les Bouts D'Choux,98 Essex St,Bloor/Christie,University-Rosedale,Julie Meta Kadiamba,416-960-9929,,,
Lescon Learners Child Care,34 Lescon Rd,Leslie/Sheppard,Don Valley North,Jaana Kitchen,416-499-7325,,,lesconchildcare.ca
Les Etoiles Brillantes 2,100 Ravel Rd,,Don Valley North,Deborah Yala,647-285-2099,,,
Les Etoiles Brillantes - Garderie,85 Forty First St,Lakeshore Rd W/Forty First St,Etobicoke-Lakeshore,Deborah Yala,647-285-2099,,,
Les Merveilles Du Monde,150 Carnforth Rd,Victoria Park/Lawrence E,Don Valley East,Mariama Barry,647-428-0084,,,
Liberty Preparatory School Inc.,181 Carlaw Ave,Queen/Carlaw,Toronto-Danforth,Leslie Shuber,416-461-3216,,,libertyprepschool.com
Liberty Prep Parliament,162 Parliament St,,Toronto Centre,Laura McDougall,416-603-0341,,,
Life-Bridge Child Care,330 University Ave,Queen/University,Spadina-Fort York,Lucy Ngo,416-552-6323,,,
"Lillian Public School, Extended Day Program",1059 Lillian St,Yonge/Steeles,Willowdale,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Lily's House Inc.,1032 Coxwell Ave,Coxwell/O'Connor,Toronto-Danforth,Lilian Benvenutto,416-423-8580,,,
Little Acorns Montessori School,40 Underhill Dr,Lawrence Ave. E./Dvp,Don Valley East,Cathie Mahoney,416-725-6459,,,littleacornsmontessori.ca
Little Angels Childcare Learning Centre,1695 Dufferin St,Dufferin St./St. Clair West,Davenport,Vesna Ostojic,416-652-1868,,,littleangelsccc.ca
Little Bugs Nursery Corporation,1448 Kingston Rd,,Scarborough Southwest,Jennifer Naraine,416-565-1109,,,littlebugsnursery.ca
Little Footsteps Childcare Inc.,404 Willard Ave,,Parkdale-High Park,Lisa Todorovic,416-604-0330,,,
Little Giants,"38 Forest Manor Rd, A",Don Mills Rd./Sheppard Ave E,Don Valley North,Blessy Simbulan,416-908-3061,,info@littlegiants-childservices.com,littlegiants-childservices.com
Little Giants Childcare Centre Inc.,"50 Forest Manor Rd, Unit 3-6",Don Mills Rd/Sheppard Ave E,Don Valley North,Doris Z Kong,416-668-1067,,,littelgiants-childservices.com
Little Learners Academy Inc.,268 Jane St,Jane St./Annette St.,Parkdale-High Park,Salima Rawjee,416-551-7114,,,
Little Tots' Manor,211 Belsize Dr,Davisville/Mt. Pleasant,Don Valley West,Delene Spragge,416-485-5515,,,littletotsmanor.com
Little Tots' Manor 2,376 Balliol St,Mt. Pleasant/Davisville,Don Valley West,Delene Spragge,416-485-5515,,,littletotsmanor.com
Little Town Childcare And Montessori,122 Queens Plate Dr,,Etobicoke North,Patricia Laforteza,416-668-2770,,,littletown.ca
Lord Dufferin Community Day Care Centre,350 Parliament St,Gerrard/Parliament,Toronto Centre,Andrea Szollos,416-960-8604,,,
Lori Gardens Centre For Early Learning,2405 Finch Ave W,Finch/Weston,Humber River-Black Creek,Ann Marie Staple,416-743-1222,221,,
Lucy Maud Montgomery Jr YMCA,95 Murison Blvd,Sheppard/Neilson,Scarborough-Rouge Park,Melissa Aniff,416-287-7925,,,ymcatoronto.org
Lullaboo Childcare Center (College),860 College St,College/Ossington Ave,Davenport,Shirley Yin,905-780-3078,,,lullaboo.ca
Lullaboo Nursery And Childcare Center,2316 Queen St E,Queen St. E/Kingswood Rd.,Beaches-East York,Nermeen Yousef,416-849-2977,,,lullaboo.ca
Lullaboo Nursery And Childcare Center - Avenue Campus,1133 Avenue Rd,Castlefield/Avenue Road,Eglinton-Lawrence,Katie Chi,416-874-6163,,,lullaboo.ca
Lullaboo Nursery And Childcare Center - Bedford Campus,11 Bedford Park Ave,Yonge/Lawrence,Eglinton-Lawrence,Vasundhra Bakshi,416-544-1039,,,lullaboo.ca
Lycee Francais De Toronto,2327 Dufferin St,Dufferin/Eglinton W.,Toronto-St. Paul's,Barbara Martin,416-258-2121,,,lft.ca
Lynngate Jr YMCA,129 Cass Ave,Warden/Sheppard,Scarborough-Agincourt,Nelisha Karmali,416-293-3020,,,
Lynnwood Heights Junior Public School,50 Southlawn Dr,,Scarborough-Agincourt,Naseem Sahar,416-299-1405,,,
Macaulay Centres For Chidren - St. Jane Frances,2747 Jane St,Jane St/Sheppard Ave W,Humber River-Black Creek,Sabrina Rodriguez,416-789-7441,670,,
Macaulay - Dovercourt Child Care Centre,100 Pauline Ave,Bloor St W/Dufferin St,Davenport,Jessica Mui,416-516-8367,610,,macaulaycentre.org
Macaulay - Fh Miller Child Care Centre,300 Caledonia Rd,Caledonia And Rogers Rd,Davenport,Leah Liang,416-546-1090,470,,macaulaycentre.org
Macaulay - George Syme Child Care Centre,69 Pritchard Ave,,York South-Weston,Melissa Howitt,437-860-1055,,,macaulaycentre.org
Macaulay - Hj Alexander Child Care Centre,30 King St,,York South-Weston,Mary Acheampongmaa,416-572-1028,,,macaulaycentre.org
Macaulay - Humberwood Child Care Centre,850 Humberwood Blvd,Hwy. 427/Rexdale,Etobicoke North,Denise Domise,416-394-4766,,,macaulaycentre.org
